time, s1, s2
9657,4,5
9878,4,7
10102,4,8
10328,4,8
10549,4,7
10770,5,6
10991,5,6
11216,5,6
11438,4,6
11659,4,6
11880,4,6
12101,4,5
12326,4,5
12548,4,5
12769,4,5
12990,4,5
13211,4,5
13436,4,6
13658,4,6
13879,4,6
14100,4,5
14321,4,5
14545,4,5
14767,4,7
14988,5,10
15209,3,9
15430,0,10
15654,0,3
15876,0,2
16097,0,2
16321,2,5
16541,0,5
16766,1,39
16992,5,42
17214,4,35
17436,4,55
17662,10,63
17885,11,69
18107,6,50
18329,11,34
18555,23,27
18778,27,26
19000,28,14
19222,17,24
19445,11,42
19672,10,32
19894,12,0
20119,1,3
20343,0,3